[2025-04-14T05:50:14.637+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-06 (offset=0)
[2025-04-14T05:50:15.092+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-07 (offset=0)
[2025-04-14T05:50:15.710+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-08 (offset=0)
[2025-04-14T05:50:16.177+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-09 (offset=0)
[2025-04-14T05:50:16.587+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-10 (offset=0)
[2025-04-14T05:50:17.129+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-11 (offset=0)
[2025-04-14T05:50:17.428+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-12 (offset=0)
[2025-04-14T05:50:17.577+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-13 (offset=0)
[2025-04-14T05:50:18.000+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-14 (offset=0)
[2025-04-14T05:50:18.410+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-15 (offset=0)
[2025-04-14T05:50:18.805+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-16 (offset=0)
[2025-04-14T05:50:19.168+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-17 (offset=0)
[2025-04-14T05:50:19.525+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-18 (offset=0)
[2025-04-14T05:50:19.893+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-19 (offset=0)
[2025-04-14T05:50:20.220+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-20 (offset=0)
[2025-04-14T05:50:20.605+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-21 (offset=0)
[2025-04-14T05:50:21.020+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-22 (offset=0)
[2025-04-14T05:50:21.420+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-23 (offset=0)
[2025-04-14T05:50:21.882+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-24 (offset=0)
[2025-04-14T05:50:22.288+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-25 (offset=0)
[2025-04-14T05:50:22.627+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-26 (offset=0)
[2025-04-14T05:50:22.919+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-27 (offset=0)
[2025-04-14T05:50:23.408+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-28 (offset=0)
[2025-04-14T05:50:23.830+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-29 (offset=0)
[2025-04-14T05:50:24.258+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-30 (offset=0)
[2025-04-14T05:50:24.675+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-07-31 (offset=0)
[2025-04-14T05:50:25.029+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-01 (offset=0)
[2025-04-14T05:50:25.333+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-02 (offset=0)
[2025-04-14T05:50:26.018+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-03 (offset=0)
[2025-04-14T05:50:26.433+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-04 (offset=0)
[2025-04-14T05:50:26.838+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-05 (offset=0)
